"cle";"francais";"malagasy";"statut";"remarque"
"welcomeBody";"Un riz sain et protégé grâce à l'expertise AgriMada.";"Vary salama sy voaaro miaraka amin'ny fahaiza-manaon'i AgriMada.";"à relire";""
"welcomeStart";"Commencer";"Hanomboka";"à relire";""
"welcomeModelVersion";"Modèle v{version}";"Modely v{version}";"à relire";""
"homeSoonMessage";"Bientôt disponible";"Tsy ho ela dia ho tonga";"à relire";""
"homeServicesTitle";"Nos Services";"Tolotra";"à relire";""
"homeMenuSemantics";"Ouvrir le menu";"Hanokatra menio";"à relire";""
"homeHelloUser";"Bonjour, {name}!";"Miarahaba, {name}!";"à relire";""
"homeFarmerDefault";"Agriculteur";"Mpamboly";"à relire";""
"homeReadyForAnalysis";"Prêt pour une analyse ?";"Vonona hanao fanadihadiana ?";"à relire";""
"homeOfflineMode";"Mode hors ligne";"Tsy misy aterineto";"à relire";""
"homeHelpSemantics";"Aide";"Fanampiana";"à relire";""
"homeSummaryTitle";"Résumé de votre exploitation";"Topi-maso ny toeram-pamokaranao";"à relire";""
"homeSystemReady";"Analyse photo prête";"Vonona ny fanadihadiana sary";"à relire";""
"homeSystemAiUnavailable";"Analyse photo indisponible";"Tsy azo atao ny fanadihadiana sary";"à relire";""
"homeRegisteredPlots";"{count} parcelle(s) enregistrée(s)";"{count} tanim-bary voasoratra";"à relire";""
"homeServicePlotsTitle";"Mes parcelles";"Tanimbary";"à relire";""
"homeServicePlotsDescription";"Suivez vos rizières, surfaces cultivées et l'état sanitaire de chaque parcelle";"Araho ny tanimbary, ny velarana volena ary ny sata ara-pahasalamany";"à relire";""
"homeServiceCropsTitle";"État des cultures";"Satan'ny voly";"à relire";""
"homeServiceCropsDescription";"Consultez l'état global de vos cultures et les niveaux de risque actuels";"Jereo ny sata ankapobeny sy ny haavon'ny loza amin'izao fotoana";"à relire";""
"homeServiceSolutionsTitle";"Maladies du riz";"Aretin'ny vary";"à relire";""
"homeServiceSolutionsDescription";"Reconnaître chaque maladie : symptômes, causes et gestes de prévention";"Fantaro ny aretina tsirairay : soritr'aretina, antony ary fihetsika fisorohana";"à relire";""
"homeServicePreventionTitle";"Prévenir les maladies";"Fisorohana aretina";"à relire";""
"homeServicePreventionDescription";"Apprenez les bonnes pratiques pour protéger vos rizières et éviter les pertes";"Ianaro ny fanao tsara hiarovana ny tanimbary sy hisorohana fatiantoka";"à relire";""
"homeScanPlantSemantics";"Scanner une plante";"Hanadihady zavamaniry";"à relire";""
"homeTabHome";"Accueil";"Fandraisana";"à relire";""
"homeTabJournal";"Journal";"Boky";"à relire";""
"scanIaUnavailable";"Diagnostic IA indisponible, veuillez réessayer";"Tsy misy ny diagnostika IA, andramo indray azafady";"à relire";""
"scanSelectPlot";"Choisir une parcelle";"Hisafidy tanimbary";"à relire";""
"scanNoPlotTitle";"Aucune parcelle";"Tsy misy tanimbary";"à relire";""
"scanNoPlotDescription";"Créez d'abord une parcelle dans votre journal agricole avant de scanner.";"Mamorona tanimbary aloha ao amin'ny boky ara-pambolena vao manao scan.";"à relire";""
"commonOk";"OK";"OK";"à relire";""
"scanGoToJournal";"Aller au journal";"Handeha any amin'ny boky";"à relire";""
"scanLoading";"Analyse en cours...";"Mandeha ny fanadihadiana...";"à relire";""
"scanPointCamera";"Pointez la caméra vers\nla feuille de riz";"Tondroy ny fakan-tsary\namin'ny ravin-bary";"à relire";""
"scanOfflineAnalysis";"L'analyse se fait hors ligne";"Atao eto an-toerana ny fanadihadiana";"à relire";""
"scanHeaderTitle";"Scanner une feuille";"Hanadihady ravina";"à relire";""
"scanCancel";"ANNULER";"HANAFOANA";"à relire";""
"scanResultSaveFailed";"Impossible d'enregistrer le diagnostic";"Tsy afaka mitahiry ny diagnostika";"à relire";""
"scanResultSaved";"Diagnostic enregistré";"Voatahiry ny diagnostika";"à relire";""
"scanResultBackSemantics";"Retour";"Miverina";"à relire";""
"scanResultTitle";"Résultat de l'analyse";"Vokatry ny fanadihadiana";"à relire";""
"scanResultSubtitle";"Analyse hors ligne terminée";"Vita ny fanadihadiana ivelan'ny tambajotra";"à relire";""
"diseaseBacterialLeafBlight";"Flétrissement bactérien (BLB)";"Malazo ravina vokatry ny bakteria (BLB)";"à relire";""
"diseaseBrownSpot";"Helminthosporiose (tache brune)";"Helminthosporiose (pentina volontany)";"à relire";""
"diseaseLeafSmut";"Charbon foliaire";"Arina amin'ny ravina";"à relire";""
"diseaseHealthy";"Plante saine";"Zavamaniry salama";"à relire";""
"scanShareTitle";"Diagnostic AgriMada";"Diagnostika AgriMada";"à relire";""
"scanShareCulture";"Culture: Riz";"Voly: Vary";"à relire";""
"scanShareDisease";"Maladie: {disease}";"Aretina: {disease}";"à relire";""
"scanShareCertainty";"Certitude : {value}";"Fahatokisana: {value}";"à relire";""
"scanShareDate";"Date: {date}";"Daty: {date}";"à relire";""
"scanCertaintyProbable";"Diagnostic probable";"Tena mety ho izy";"à relire";""
"scanCertaintyPossible";"Piste à confirmer";"Soso-kevitra tokony hamafisina";"à relire";""
"scanCertaintyUncertain";"Résultat incertain";"Vokatra tsy azo antoka";"à relire";""
"scanCertaintyExplainProbable";"Les symptômes reconnus sont nets. Vérifiez sur la plante avant d'agir.";"Mazava tsara ireo soritr'aretina fantarina. Hamarino eo amin'ny zavamaniry alohan'ny hanaovana zavatra.";"à relire";""
"scanCertaintyExplainPossible";"Modèle expérimental : il se trompe souvent sur les photos prises au champ. Ce résultat est une piste, pas un diagnostic. Faites-le confirmer par un technicien agricole avant d'agir.";"Modely mbola andrana : matetika diso amin'ny sary nalaina tany an-tsaha. Soso-kevitra fotsiny ity fa tsy fitiliana. Asao teknisianina momba ny fambolena hanamafy alohan'ny hanaovana zavatra.";"à relire";""
"scanUncertainTitle";"L'application ne reconnaît pas cette photo";"Tsy fantatry ny rindranasa ity sary ity";"à relire";""
"scanUncertainBody";"Ce n'est peut-être pas du riz, ou la photo est floue ou mal éclairée. Aucune maladie n'est retenue et rien n'est enregistré.";"Mety tsy vary izy, na manjavozavo na tsy ampy hazavana ny sary. Tsy misy aretina voatazona ary tsy misy voatahiry.";"à relire";""
"scanRetakeTips";"Pour une nouvelle photo : une seule feuille bien nette, à 20-30 cm, en lumière naturelle, sans contre-jour.";"Ho an'ny sary vaovao: ravina iray mazava tsara, 20-30 cm, amin'ny hazavana voajanahary, tsy manoloana ny masoandro.";"à relire";""
"scanRetakePhoto";"Reprendre la photo";"Haka sary indray";"à relire";""
"scanOtherCandidates";"Autres possibilités : {names}";"Mety ho: {names}";"à relire";""
"scanNoResult";"Aucun résultat à afficher";"Tsy misy vokatra aseho";"à relire";""
"scanSeverityQuestion";"Quelle part de la parcelle est touchée ?";"Ohatrinona ny ampahan'ny tanimbary voan'ny aretina ?";"à relire";""
"scanSeverityFewPlants";"Quelques plants";"Foto-bary vitsivitsy";"à relire";""
"scanSeverityUnderThird";"Moins d'un tiers";"Latsaky ny ampahatelony";"à relire";""
"scanSeverityOverThird";"Plus d'un tiers";"Mihoatra ny ampahatelony";"à relire";""
"scanSeverityUnknown";"Part touchée non renseignée";"Tsy voalaza ny ampahany voa";"à relire";""
"scanAdviceTitle";"Que faire ?";"Inona no atao ?";"à relire";""
"scanAdviceNoChemical";"AgriMada ne recommande aucun produit ni dosage. Avant tout traitement, demandez conseil à un technicien agricole.";"Tsy manoro vokatra na fatrany ny AgriMada. Alohan'ny fitsaboana rehetra, manontania teknisianina momba ny fambolena.";"à relire";""
"scanAdviceHealthySeeds";"Utiliser des semences saines";"Mampiasà masomboly salama";"à relire";""
"scanAdviceRemoveResidues";"Enlever et détruire les résidus des parcelles atteintes";"Esory avokoa ireo mololo eo amin'ny toerana nahitana soritr'aretina";"à relire";""
"scanAdviceRemoveHostWeeds";"Enlever et détruire les mauvaises herbes qui hébergent la bactérie";"Esory avokoa ireo ahi-dratsy mety iveloman'ny bakteria";"à relire";""
"scanAdviceCleanTools";"Nettoyer les outils au savon après chaque utilisation";"Sasao amin'ny savony ireo fitaovam-pambolena isaky ny avy nampiasana";"à relire";""
"scanAdviceAlertTechnician";"Prévenir le technicien agricole le plus proche";"Ilazao haingana ny teknisianina akaiky indrindra";"à relire";""
"scanDiscard";"Ce résultat me semble faux";"Toa diso ity vokatra ity";"à relire";""
"scanDiscarded";"Résultat écarté, rien n'a été enregistré";"Nolavina ny vokatra, tsy nisy voatahiry";"à relire";""
"scanRecommendationsTitle";"Recommandations adaptées";"Soso-kevitra mifanaraka";"à relire";""
"scanRecommendationItemTitle";"Recommandation";"Soso-kevitra";"à relire";""
"scanRecBlbAvoidNitrogen";"Éviter l'excès d'azote";"Hialao ny azota be loatra";"à relire";""
"scanRecBlbUseResistantVarieties";"Utiliser des variétés résistantes lors du prochain cycle";"Ampiasao karazam-bary mahatohitra ny aretina amin'ny fambolena manaraka";"à relire";""
"scanRecBrownSpotFertilize";"Améliorer la fertilisation (potassium)";"Hatsarao ny fanomezan-jezika, indrindra ny potasioma";"à relire";""
"scanRecBrownSpotAvoidStress";"Éviter que le riz manque d'eau";"Aza avela ho tsy ampy rano ny vary";"à relire";""
"scanRecHealthy";"Plante en bonne santé. Continuez les bonnes pratiques agricoles.";"Zavamaniry salama. Tohizo ny fanao tsara amin'ny fambolena.";"à relire";""
"scanRecHealthyWater";"Maintenir une bonne gestion de l'eau";"Ataovy tsara ny fitantanana ny rano";"à relire";""
"scanRecHealthyFertilization";"Fertilisation équilibrée";"Fametrahana zezika voalanjalanja";"à relire";""
"scanRecHealthyMonitoring";"Surveillance régulière des parcelles";"Fanaraha-maso matetika ny tanimbary";"à relire";""
"scanRecHealthyRotation";"Rotation des cultures";"Fihodinana voly";"à relire";""
"scanRescanSemantics";"Refaire un scan";"Hanao scan indray";"à relire";""
"scanRescan";"Refaire un scan";"Hanao scan indray";"à relire";""
"scanSaveJournalSemantics";"Enregistrer dans le journal";"Hotehirizina ao amin'ny boky";"à relire";""
"commonSave";"Enregistrer";"Tehirizo";"à relire";""
"scanShareSemantics";"Partager le résultat";"Hizara ny vokatra";"à relire";""
"scanShare";"Partager le résultat";"Hizara ny vokatra";"à relire";""
"modelVersionTitle";"Version du modèle IA";"Dikan'ny modely IA";"à relire";""
"modelSupportedDiseases";"Maladies reconnues : {diseases}";"Aretina fantarina: {diseases}";"à relire";""
"journalError";"Erreur: {error}";"Hadisoana: {error}";"à relire";""
"journalNewPlot";"Nouvelle parcelle";"Tanimbary vaovao";"à relire";""
"journalTitle";"Journal agricole";"Boky ara-pambolena";"à relire";""
"journalSubtitle";"Suivi de vos parcelles";"Fanaraha-maso ny tanimbarinao";"à relire";""
"journalTotal";"Total";"Fitambarany";"à relire";""
"journalHealthyPlural";"Saines";"Salama";"à relire";""
"journalSickPlural";"Malades";"Marary";"à relire";""
"journalStatusSick";"Malade";"Marary";"à relire";""
"journalStatusHealthy";"Sain";"Salama";"à relire";""
"journalStatusNotAnalyzed";"Non analysé";"Tsy nohadihadiana";"à relire";""
"journalAreaHa";"{surface} ha";"{surface} ha";"à relire";""
"journalAnalysesCount";"{count} analyse(s)";"Fanadihadiana {count}";"à relire";""
"journalLastDiagnostic";"Dernier : {disease} - {date}";"Farany : {disease} - {date}";"à relire";""
"journalScan";"Scanner";"Hanadihady";"à relire";""
"journalNoDiagnosticYet";"Aucun diagnostic encore";"Tsy mbola misy diagnostika";"à relire";""
"journalScanNow";"Scanner maintenant";"Hanadihady izao";"à relire";""
"journalEmptyTitle";"Aucune parcelle";"Tsy misy tanimbary";"à relire";""
"journalEmptyDescription";"Ajoutez votre première parcelle\npour commencer le suivi.";"Ampio ny tanimbary voalohany\nhanombohana ny fanaraha-maso.";"à relire";""
"journalAddPlot";"Ajouter une parcelle";"Hanampy tanimbary";"à relire";""
"journalPlotNameLabel";"Nom de la parcelle *";"Anaran'ny tanimbary *";"à relire";""
"journalDescriptionOptional";"Description (optionnel)";"Fanazavana (tsy voatery)";"à relire";""
"journalSurfaceOptional";"Surface (ha, optionnel)";"Velarana (ha, tsy voatery)";"à relire";""
"journalNameRequired";"Nom requis";"Ilaina ny anarana";"à relire";""
"plotPhotoTake";"Prendre une photo";"Haka sary";"à relire";""
"plotPhotoGallery";"Choisir dans la galerie";"Hisafidy ao amin'ny sary voatahiry";"à relire";""
"plotPhotoLabel";"Photo de la parcelle";"Sarin'ny tanimbary";"à relire";""
"plotPhotoAdd";"Ajouter une photo";"Hanampy sary";"à relire";""
"plotPhotoHint";"Facultative";"Tsy voatery";"à relire";""
"plotPhotoRemove";"Retirer la photo";"Hanala ny sary";"à relire";""
"plotNameLabel";"Nom de la parcelle";"Anaran'ny tanimbary";"à relire";""
"plotNameHint";"Ex. : rizière du bas-fond";"Ohatra: tanimbary eny an-dohasaha";"à relire";""
"plotCropLabel";"Culture";"Voly";"à relire";""
"plotCropHint";"Riz";"Vary";"à relire";""
"plotSurfaceLabel";"Surface cultivée";"Velarana volena";"à relire";""
"plotSurfaceHint";"En hectares, ex. : 0,55";"Amin'ny hekitara, ohatra: 0,55";"à relire";""
"plotSurfaceSuffix";"ha";"ha";"à relire";""
"plotSurfaceInvalid";"Surface invalide. Exemple : 0,55";"Velarana tsy mety. Ohatra: 0,55";"à relire";""
"plotLocationLabel";"Emplacement";"Toerana";"à relire";""
"plotLocationHint";"Village, fokontany, repère";"Tanàna, fokontany, marika";"à relire";""
"plotSaveFailed";"Impossible d'enregistrer la parcelle";"Tsy afaka mitahiry ny tanimbary";"à relire";""
"registerTitle";"Inscription";"Hisoratra anarana";"à relire";""
"registerHello";"Bonjour!";"Salama!";"à relire";""
"registerWelcome";"Bienvenue sur AgriMada";"Tongasoa eto amin'ny AgriMada";"à relire";""
"registerNameLabel";"Nom complet";"Anarana feno";"à relire";""
"registerEmailLabel";"Email";"Mailaka";"à relire";""
"registerPasswordLabel";"Mot de passe";"Teny miafina";"à relire";""
"registerConfirmPasswordLabel";"Confirmer mot de passe";"Hamarino ny teny miafina";"à relire";""
"registerSubmit";"S'inscrire";"Hisoratra anarana";"à relire";""
"registerAcceptTerms";"J'accepte les Conditions d'utilisation et la Politique de confidentialité";"Manaiky ny Fepetra fampiasana sy ny Politika momba ny fiainana manokana aho";"à relire";""
"registerAcceptError";"Veuillez accepter les Conditions d'utilisation";"Mba ekeo ny Fepetra fampiasana";"à relire";""
"registerHasAccount";"Déjà un compte?";"Efa manana kaonty?";"à relire";""
"registerLoginLink";"Se connecter";"Hiditra";"à relire";""
"registerSuccess";"Inscription réussie";"Soa aman-tsara ny fisoratana anarana";"à relire";""
"preventionTitle";"Prévenir les maladies";"Misoroka ny aretina";"à relire";""
"preventionSubtitle";"Prévenez vos rizicultures";"Arovy ny fambolena vary";"à relire";""
"preventionAstuceTitle";"Astuce de prévention";"Torohay fisorohana";"à relire";""
"preventionAstuceDesc";"Des gestes simples aujourd'hui pour un riz sain et une meilleure récolte demain";"Fihetsika tsotra anio ho an'ny vary salama sy vokatra tsara kokoa rahampitso";"à relire";""
"preventionAstuceMoment";"Astuce du moment";"Torohay amin'izao fotoana izao";"à relire";""
"preventionWaterManagement";"Maintenez une bonne gestion de l'eau";"Tantano tsara ny fitantanana ny rano";"à relire";""
"preventionWaterDesc";"Une bonne gestion de l'eau limite le développement des maladies comme la pyriculariose, la bactériose et la fusariose.";"Ny fitantanana ny rano tsara dia mametra ny fivoaran'ny aretina toy ny pyriculariose, bactériose ary fusariose.";"à relire";""
"preventionPourquoi";"Pourquoi c'est efficace ?";"Fa maninona no mandaitra izany?";"à relire";""
"preventionPourquoiDesc";"L'excès d'eau et l'humidité favorisent les champignons et bactéries. Une bonne gestion de l'eau renforce la résistance naturelle du riz.";"Ny rano be sy ny hamandoana dia mampiroborobo ny holatra sy bakteria. Ny fitantanana ny rano tsara dia manamafy ny fanoherana voajanahary ny vary.";"à relire";""
"preventionBonASavoir";"Bon à savoir";"Tsara ho fantatra";"à relire";""
"preventionBonASavoirDesc";"Des plantes vigoureuses, un sol bien oxygéné et une eau bien gérée sont les clés d'un riz en bonne santé.";"Ny zavamaniry mavitrika, ny tany misy oksizenina tsara ary ny rano voatantana tsara dia fanalahidin'ny vary salama.";"à relire";""
"preventionCommentFaire";"Comment faire ?";"Ahoana no fanaovana izany?";"à relire";""
"guidesTitle";"Guides des maladies";"Torolalana momba ny aretina";"à relire";""
"guidesSubtitle";"Fiches d'identification hors ligne";"Takelaka famantarana tsy misy aterineto";"à relire";""
"guidesSymptoms";"Symptômes";"Soritr'aretina";"à relire";""
"guidesCauses";"Causes";"Antony";"à relire";""
"guidesTreatments";"Traitements";"Fitsaboana";"à relire";""
"drawerMenuTitle";"Menu";"Menio";"à relire";""
"drawerHomeTitle";"Accueil";"Fandraisana";"à relire";""
"drawerHomeSubtitle";"Revenir à la page d'accueil";"Hiverina amin'ny fandraisana";"à relire";""
"drawerPlotsTitle";"Mes parcelles";"Tanimbary";"à relire";""
"drawerPlotsSubtitle";"Suivi de vos rizières et surfaces";"Fanaraha-maso ny tanimbary";"à relire";""
"drawerHistoryTitle";"Historique";"Tantara";"à relire";""
"drawerHistorySubtitle";"Liste de vos analyses passées";"Lisitry ny fanadihadiana";"à relire";""
"drawerGuidesTitle";"Guides des maladies";"Torolalana momba ny aretina";"à relire";""
"drawerGuidesSubtitle";"Fiches d'identification hors ligne";"Takelaka famantarana tsy misy aterineto";"à relire";""
"drawerSettingsTitle";"Paramètres";"Fikirakirana";"à relire";""
"drawerSettingsSubtitle";"Langue et préférences";"Fiteny sy safidy";"à relire";""
"drawerStorage";"Stockage";"Fitehirizana";"à relire";""
"drawerMemoryUsed";"Mémoire utilisée sur ce smartphone";"Fitehirizana ampiasaina amin'ity finday ity";"à relire";""
"drawerLogout";"Déconnexion";"Hivoaka";"à relire";""
"drawerLastUpdate";"Dernière MAJ : {date}";"Fanavaozana farany : {date}";"à relire";""
"drawerEmbeddedModel";"Modèle IA embarqué";"Modely IA anaty";"à relire";""
"settingsTitle";"Paramètres";"Fikirakirana";"à relire";""
"settingsPhoneUnavailable";"Téléphone indisponible";"Tsy misy nomerao";"à relire";""
"settingsRegionUnavailable";"Région indisponible";"Tsy misy faritra";"à relire";""
"settingsLanguage";"Langue";"Fiteny";"à relire";""
"settingsLogout";"Se déconnecter";"Hivoaka";"à relire";""
"resetPasswordTitle";"Mot de passe oublié";"Hadino ny teny miafina";"à relire";""
"resetPasswordHeadline";"Réinitialiser le mot de passe";"Hamerina ny teny miafina";"à relire";""
"resetPasswordInstruction";"Entrez votre numéro de téléphone pour recevoir les instructions.";"Ampidiro ny nomeraon-telefaoninao handraisana ny toromarika.";"à relire";""
"resetPasswordPhoneLabel";"Téléphone";"Telefaonina";"à relire";""
"resetPasswordPhoneHint";"0341234567";"0341234567";"à relire";""
"resetPasswordPhoneRequired";"Champ requis";"Tsy maintsy fenoina";"à relire";""
"resetPasswordPhoneInvalid";"Numéro invalide";"Nomerao tsy mitombina";"à relire";""
"resetPasswordBackToLogin";"Retour à la connexion";"Hiverina amin'ny fidirana";"à relire";""
"onboardingNext";"Suivant";"Manaraka";"à relire";""
"onboardingStart";"Commencer";"Hanomboka";"à relire";""
"onboardingSkip";"Passer";"Handingana";"à relire";""
"onboardingWelcome";"Bienvenue";"Tongasoa";"à relire";""
"onboardingHelpTitle";"Aide AgriMada";"Fanampiana AgriMada";"à relire";""
"onboardingAiAvailable";"Analyse photo disponible sur ce téléphone";"Azo atao amin'ity finday ity ny fanadihadiana sary";"à relire";""
"onboardingAiUnavailable";"Analyse photo indisponible sur ce téléphone";"Tsy azo atao amin'ity finday ity ny fanadihadiana sary";"à relire";""
"commonClose";"Fermer";"Hanidy";"à relire";""
"onboardingSlide1Title";"Photographiez la feuille malade";"Alao sary ny ravina marary";"à relire";""
"onboardingSlide1Desc";"Placez la feuille dans le cadre. Gardez 20-30 cm de distance et une bonne lumière naturelle.";"Apetraho ao anatin'ny tabilao ny ravina. Mijanòna eo amin'ny 20-30 cm ary hazavana tsara.";"à relire";""
"onboardingSlide2Title";"L'IA analyse hors ligne";"Manadihady ivelan'ny tambajotra ny IA";"à relire";""
"onboardingSlide2Desc";"Pas besoin d'internet. Le diagnostic fonctionne directement sur votre téléphone.";"Tsy mila aterineto. Mandeha mivantana amin'ny findainao ny fitiliana.";"à relire";""
"onboardingSlide3Title";"Consultez le diagnostic";"Jereo ny vokatra";"à relire";""
"onboardingSlide3Desc";"Voyez la maladie probable, le niveau de certitude et les gestes de prévention.";"Jereo ny aretina mety ho izy, ny haavon'ny fahatokisana ary ny fomba fisorohana.";"à relire";""
"onboardingSlide4Title";"Suivez vos parcelles";"Araho ny tanimbarinao";"à relire";""
"onboardingSlide4Desc";"Retrouvez l'historique des analyses de chaque parcelle dans le journal agricole.";"Tadiavo ao amin'ny boky ny tantaran'ny fitiliana ho an'ny tanimbary tsirairay.";"à relire";""
"preventionTip1";"Assurez un drainage efficace de la parcelle pour éviter la stagnation d'eau.";"Ataovy tsara ny fivoahan'ny rano eo amin'ny tanimbary hisorohana ny rano miandrona.";"à relire";""
"preventionTip2";"Alternez les phases d'inondation et d'assèchement (en irrigation intermittente).";"Avadiho matetika ny fotoana feno rano sy maina (fitarihan-drano mitsitapatapaka).";"à relire";""
"preventionTip3";"Évitez un niveau d'eau trop élevé en permanence (3-5 cm suffisent).";"Hialao ny rano be loatra mitohy (ampy ny 3-5 cm).";"à relire";""
"preventionTip4";"Évitez l'excès d'azote, qui rend les plantes plus sensibles aux maladies.";"Hialao ny azota be loatra, mahatonga ny vary ho mora voan'ny aretina.";"à relire";""
"preventionTip5";"Nettoyez régulièrement les canaux et entrées d'eau pour une meilleure circulation.";"Diovy matetika ny lakandrano sy ny fidirandrano mba hikorianan'ny rano tsara.";"à relire";""
"splashStatusInitializing";"Initialisation en cours...";"Eo am-panombohana...";"à relire";""
"splashStatusDegraded";"Initialisation partielle, mode dégradé.";"Fanombohana tsy feno.";"à relire";""
"splashStatusAiReady";"IA prête";"Vonona ny IA";"à relire";""
"splashStatusAiUnavailable";"IA indisponible";"Tsy misy ny IA";"à relire";""
"splashStatusSessionActive";"Session active";"Kaonty mavitrika";"à relire";""
"splashStatusSessionGuest";"Session invité";"Kaonty vahiny";"à relire";""
"exportCsvDate";"Date";"Daty";"à relire";""
"exportCsvPlot";"Parcelle";"Tanimbary";"à relire";""
"exportCsvDisease";"Maladie";"Aretina";"à relire";""
"exportCsvSeverity";"Gravité";"Hamafiny";"à relire";""
"exportCsvConfidence";"Confiance(%)";"Fahamendrehana(%)";"à relire";""
"exportCsvRecommendations";"Recommandations";"Toro-hevitra";"à relire";""
"exportCsvTreatment";"Traitement appliqué";"Fitsaboana natao";"à relire";""
"exportPdfGeneratedBy";"Généré par AgriMada - Agriculture intelligente";"Navoakan'ny AgriMada - Fambolena manara-penitra";"à relire";""
"exportPdfTitle";"Export journal agricole";"Tantaran'ny tanimbary";"à relire";""
"exportPdfAllPlots";"Toutes les parcelles";"Tanimbary rehetra";"à relire";""
"exportPdfPlotLabel";"Parcelle: {plot}";"Tanimbary: {plot}";"à relire";""
"exportPdfDateLabel";"Date d'export: {date}";"Daty hamoahana: {date}";"à relire";""
"guideDisease1Name";"Brûlure bactérienne";"Aretin'ny bakteria (Brûlure bactérienne)";"à relire";""
"guideDisease1Desc";"Maladie bactérienne qui provoque le flétrissement des feuilles. Les premiers symptômes apparaissent sous forme de lésions gris-vert le long des bords des feuilles, qui s'étendent rapidement et deviennent jaune-blanchâtre.";"Aretin'ny bakteria izay mahatonga ny ravina ho malazo. Ny fambara voalohany dia mipoitra toy ny pentina fotsy-maitso eo amoron'ny ravina, izay mitatra haingana ary lasa fotsy-mavo.";"à relire";""
"guideDisease1Symptoms";"• Lésions gris-vert le long des nervures\n• Flétrissement en V sur les bords\n• Exsudat bactérien jaune par temps humide\n• Feuilles qui sèchent et blanchissent";"• Pentina fotsy-maitso eo amoron'ny hazondravina\n• Malazo miendrika V eo amin'ny sisiny\n• Misy rano mavo rehefa mando ny andro\n• Ravina maina ary mivadika fotsy";"à relire";""
"guideDisease1Causes";"• Forte humidité et températures élevées\n• Excès d'azote\n• Eau stagnante prolongée\n• Variétés sensibles";"• Hamandoana be sy hafanana ambony\n• Azota be loatra\n• Rano miandrona maharitra\n• Karazam-bary mora voa";"à relire";""
"guideDisease2Name";"Tache brune";"Pentina mainty (Tache brune)";"à relire";""
"guideDisease2Desc";"Maladie fongique courante du riz, surtout dans les sols carencés. Les taches brunes ovales apparaissent sur les feuilles, réduisant la capacité photosynthétique de la plante.";"Aretin'ny holatra matetika amin'ny vary, indrindra amin'ny tany mahantra. Mipoitra eo amin'ny ravina ny pentina volontany lavalava, ka mampihena ny fahafahan'ny zavamaniry mamelona.";"à relire";""
"guideDisease2Symptoms";"• Taches brunes ovales sur les feuilles\n• Anneaux concentriques sur les lésions\n• Grains tachetés dans les cas sévères\n• Réduction du rendement";"• Pentina volontany lavalava eo amin'ny ravina\n• Misy faribolana eo amin'ny fery\n• Voam-bary misy pentina raha mafy ny aretina\n• Mihena ny vokatra";"à relire";""
"guideDisease2Causes";"• Carence en potassium\n• Sols pauvres et mal drainés\n• Stress hydrique\n• Forte humidité relative";"• Tsy fisian'ny potasioma\n• Tany mahantra sy tsy tsara fivoahan-drano\n• Tsy fahampian-drano\n• Hamandoana be";"à relire";""
"guideDisease3Name";"Charbon foliaire";"Aretin'ny holatra (Charbon foliaire)";"à relire";""
"guideDisease3Desc";"Maladie fongique qui se manifeste par de petites taches noires sur les feuilles de riz. Le champignon se développe dans les tissus foliaires et forme des sores noirs remplis de spores.";"Aretin'ny holatra izay hita amin'ny pentina mainty kely eo amin'ny ravin-bary. Mivoatra ao anatin'ny ravina ny holatra ary mamorona faritra mainty feno voany.";"à relire";""
